trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
88,read_target_after,2.997970,3.168448,0.170478
88,read_target_before,2.710646,2.832237,0.121591
88,request_security_seed,3.200367,2.826021,-0.374346
88,send_security_key,2.851724,3.018151,0.166427
88,session_reset,2.781324,3.139814,0.358490
88,write_target,3.265388,3.057402,-0.207986
89,enter_extended_session,2.695769,3.106011,0.410242
89,read_target_after,2.950478,2.868344,-0.082134
89,read_target_before,3.013962,2.893556,-0.120406
89,request_security_seed,2.594431,3.158391,0.563960
89,send_security_key,3.217478,3.071091,-0.146387
89,session_reset,2.794384,2.789634,-0.004750
89,write_target,2.719446,2.742142,0.022696
90,enter_extended_session,3.295210,3.093789,-0.201421
90,read_target_after,3.013404,2.852420,-0.160984
90,read_target_before,2.839502,3.033167,0.193665
90,request_security_seed,2.800600,2.825462,0.024862
90,send_security_key,3.023251,2.846205,-0.177046
90,session_reset,2.960605,3.132969,0.172364
90,write_target,3.039315,3.288574,0.249259
91,enter_extended_session,2.861152,3.320072,0.458920
91,read_target_after,2.868625,2.983231,0.114606
91,read_target_before,2.845927,2.865480,0.019553
91,request_security_seed,2.726849,3.029955,0.303106
91,send_security_key,3.352968,3.036520,-0.316448
91,session_reset,2.935043,2.593592,-0.341451
91,write_target,2.996991,2.884059,-0.112932
92,enter_extended_session,3.256868,2.844040,-0.412828
92,read_target_after,3.087435,3.007047,-0.080388
92,read_target_before,3.123332,3.243108,0.119776
92,request_security_seed,2.844600,3.079542,0.234942
92,send_security_key,2.895793,2.876934,-0.018859
92,session_reset,2.936579,3.127940,0.191361
92,write_target,3.201764,3.183324,-0.018440
93,enter_extended_session,3.140862,2.768053,-0.372809
93,read_target_after,2.862269,3.031910,0.169641
93,read_target_before,2.888739,2.628442,-0.260297
93,request_security_seed,3.329711,3.280263,-0.049448
93,send_security_key,2.963887,2.854027,-0.109860
93,session_reset,2.670418,2.648277,-0.022141
93,write_target,3.069276,2.872884,-0.196392
94,enter_extended_session,3.099447,2.679985,-0.419462
94,read_target_after,2.922751,3.084779,0.162028
94,read_target_before,2.996572,2.685293,-0.311279
94,request_security_seed,2.851794,2.883010,0.031216
94,send_security_key,3.061035,3.361697,0.300662
94,session_reset,3.032470,3.302542,0.270072
94,write_target,3.278518,3.083033,-0.195485
95,enter_extended_session,2.931761,3.050977,0.119216
95,read_target_after,2.893278,3.271881,0.378603
95,read_target_before,2.710296,3.049161,0.338865
95,request_security_seed,2.994198,3.117814,0.123616
95,send_security_key,3.423646,3.119002,-0.304644
95,session_reset,2.893139,2.984489,0.091350
95,write_target,3.046858,3.110480,0.063622
96,enter_extended_session,2.962280,2.913181,-0.049099
96,read_target_after,2.930574,2.988051,0.057477
96,read_target_before,3.032889,3.271043,0.238154
96,request_security_seed,2.943005,3.016056,0.073051
96,send_security_key,2.914161,3.012634,0.098473
96,session_reset,3.139885,2.918769,-0.221116
96,write_target,3.181999,2.902076,-0.279923
97,enter_extended_session,2.855076,3.259031,0.403955
97,read_target_after,3.100286,3.007466,-0.092820
97,read_target_before,2.749827,2.925683,0.175856
97,request_security_seed,3.296048,3.125148,-0.170900
97,send_security_key,3.068369,2.704150,-0.364219
97,session_reset,2.961233,2.669718,-0.291515
97,write_target,2.898865,2.961092,0.062227
98,enter_extended_session,2.789286,2.971080,0.181794
98,read_target_after,2.641853,2.975200,0.333347
98,read_target_before,3.141701,3.182206,0.040505
98,request_security_seed,2.913672,2.994964,0.081292
98,send_security_key,2.894606,3.149870,0.255264
98,session_reset,3.054051,2.895652,-0.158399
98,write_target,3.054610,2.791310,-0.263300
99,enter_extended_session,3.060755,3.220549,0.159794
99,read_target_after,2.748569,3.017662,0.269093
99,read_target_before,2.751083,3.003625,0.252542
99,request_security_seed,3.308689,2.911296,-0.397393
99,send_security_key,2.821553,2.958927,0.137374
99,session_reset,2.760722,2.986653,0.225931
99,write_target,3.215103,3.235774,0.020671
100,enter_extended_session,2.786004,3.060685,0.274681
100,read_target_after,2.708830,2.986653,0.277823
100,read_target_before,3.257636,3.263570,0.005934
100,request_security_seed,3.085200,3.101052,0.015852
100,send_security_key,2.866529,3.104056,0.237527
100,session_reset,3.075841,2.731108,-0.344733
100,write_target,3.126336,2.897886,-0.228450
101,enter_extended_session,3.034356,3.259939,0.225583
101,read_target_after,3.039873,3.252746,0.212873
101,read_target_before,2.785375,3.068855,0.283480
101,request_security_seed,3.134158,2.880287,-0.253871
101,send_security_key,2.891742,3.066481,0.174739
101,session_reset,2.622647,2.723704,0.101057
101,write_target,3.115022,3.063059,-0.051963
102,enter_extended_session,2.820435,3.028348,0.207913
102,read_target_after,3.047556,2.924286,-0.123270
102,read_target_before,2.907945,2.929594,0.021649
102,request_security_seed,3.113695,3.219012,0.105317
102,send_security_key,3.271743,2.824065,-0.447678
102,session_reset,3.125847,2.883150,-0.242697
102,write_target,3.055867,2.926102,-0.129765
103,enter_extended_session,3.059638,2.928127,-0.131511
103,read_target_after,3.087086,3.064036,-0.023050
103,read_target_before,2.882942,3.181019,0.298077
103,request_security_seed,3.221878,3.038615,-0.183263
103,send_security_key,2.615942,3.041757,0.425815
103,session_reset,2.933855,3.151827,0.217972
103,write_target,3.155599,3.306103,0.150504
104,enter_extended_session,3.035892,2.797735,-0.238157
104,read_target_after,3.043924,3.057402,0.013478
104,read_target_before,3.121098,2.874630,-0.246468
104,request_security_seed,2.859196,3.279075,0.419879
