vehicle_id,hotpatch_capable,ota_only_protected_min,hotpatch_first_protected_min,exposure_reduction_min,ota_only_ota_finished_min,hotpatch_first_ota_finished_min
vehicle-0168,true,5655,742,4913,5655,5655
vehicle-0169,true,5773,474,5299,5773,5773
vehicle-0170,true,5728,465,5263,5728,5728
vehicle-0171,true,5723,1048,4675,5723,5723
vehicle-0172,true,4347,466,3881,4347,4347
vehicle-0173,true,5748,1136,4612,5748,5748
vehicle-0174,true,5626,738,4888,5626,5626
vehicle-0175,true,5643,635,5008,5643,5643
vehicle-0176,true,5746,552,5194,5746,5746
vehicle-0177,true,5669,1064,4605,5669,5669
vehicle-0178,true,5764,995,4769,5764,5764
vehicle-0179,true,4353,491,3862,4353,4353
vehicle-0180,true,4354,470,3884,4354,4354
vehicle-0181,true,5682,366,5316,5682,5682
vehicle-0182,true,5676,889,4787,5676,5676
vehicle-0183,true,4358,990,3368,4358,4358
vehicle-0184,true,5708,474,5234,5708,5708
vehicle-0185,true,4362,1158,3204,4362,4362
vehicle-0186,true,5669,463,5206,5669,5669
vehicle-0187,true,5770,553,5217,5770,5770
vehicle-0188,true,5709,587,5122,5709,5709
vehicle-0189,true,5641,698,4943,5641,5641
vehicle-0190,true,5754,849,4905,5754,5754
vehicle-0191,true,5755,447,5308,5755,5755
vehicle-0192,true,5666,1095,4571,5666,5666
vehicle-0193,true,5754,547,5207,5754,5754
vehicle-0194,true,4380,949,3431,4380,4380
vehicle-0195,true,5671,790,4881,5671,5671
vehicle-0196,true,5709,988,4721,5709,5709
vehicle-0197,true,5638,971,4667,5638,5638
vehicle-0198,true,5646,942,4704,5646,5646
vehicle-0199,true,5641,490,5151,5641,5641
vehicle-0200,true,4381,403,3978,4381,4381
vehicle-0201,true,5773,440,5333,5773,5773
vehicle-0202,true,5647,1111,4536,5647,5647
vehicle-0203,true,5710,715,4995,5710,5710
vehicle-0204,true,5701,578,5123,5701,5701
vehicle-0205,true,5637,493,5144,5637,5637
vehicle-0206,true,5732,689,5043,5732,5732
vehicle-0207,true,5682,511,5171,5682,5682
vehicle-0208,true,5759,468,5291,5759,5759
vehicle-0209,true,5699,374,5325,5699,5699
vehicle-0210,true,5759,678,5081,5759,5759
vehicle-0211,true,7130,547,6583,7130,7130
vehicle-0212,true,5692,747,4945,5692,5692
vehicle-0213,true,5711,853,4858,5711,5711
vehicle-0214,true,7147,773,6374,7147,7147
